stop_lat,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type,stop_code
38.626358,,-90.189801,13357,NEAR SIDE BROADWAY @ CHESTNUT ST,BROADWAY @ CHESTNUT ST,0,13357
38.548621,,-90.013215,11542,NEAR SIDE MEMORIAL DR @ HIGH FOREST DR,MEMORIAL DR @ HIGH FOREST DR,0,11542
38.548579,,-90.011525,11543,NEAR SIDE MEMORIAL DR @ ROYAL HEIGHTS RD,MEMORIAL DR @ ROYAL HEIGHTS RD,0,11543
38.548684,,-90.018033,11540,FAR SIDE MEMORIAL DR @ N 43RD ST,MEMORIAL DR @ N 43RD ST,0,11540
38.548633,,-90.014177,11541,NEAR SIDE MEMORIAL DR @ N 39TH ST,MEMORIAL DR @ N 39TH ST,0,11541
38.602837,,-90.051768,11546,FAR SIDE IL ROUTE 157 @ CALIFORNIA DR,IL ROUTE 157 @ CALIFORNIA DR,0,11546
38.608484,,-90.048964,11547,NEAR SIDE IL ROUTE 157 @ GARDEN AVE,IL ROUTE 157 @ GARDEN AVE,0,11547
38.556321,,-90.018043,11545,FAR SIDE FRANK SCOTT PKY @ IDA DR,FRANK SCOTT PKY @ IDA DR,0,11545
38.610897,,-90.047617,11548,FAR SIDE IL ROUTE 157 @ TUCKER DR,IL ROUTE 157 @ TUCKER DR,0,11548
38.612687,,-90.046632,11549,NEAR SIDE IL ROUTE 157 @ RAUCKMAN DR,IL ROUTE 157 @ RAUCKMAN DR,0,11549
38.688282,,-90.328662,5989,NEAR SIDE N HANLEY RD @ ALERT DR,N HANLEY RD @ ALERT DR,0,5989
38.680012,,-90.328586,5983,FAR SIDE N HANLEY RD @ MILAN AVE,N HANLEY RD @ MILAN AVE,0,5983
38.67507,,-90.32982,5980,NEAR SIDE N HANLEY RD @ ANNA AVE,N HANLEY RD @ ANNA AVE,0,5980
38.676698,,-90.328528,5981,FAR SIDE N HANLEY RD @ CANTON AVE,N HANLEY RD @ CANTON AVE,0,5981
38.684455,,-90.32867,5986,FAR SIDE N HANLEY RD @ WASHINGTON ST,N HANLEY RD @ WASHINGTON ST,0,5986
38.685865,,-90.328667,5987,FAR SIDE N HANLEY RD @ MADISON AVE,N HANLEY RD @ MADISON AVE,0,5987
38.683138,,-90.3287,5985,NEAR SIDE N HANLEY RD @ PAGE AVE,N HANLEY RD @ PAGE AVE,0,5985
38.577667,,-90.116959,15267,NEAR SIDE MOUSETTE LN @ MARKET ST,MOUSETTE LN @ MARKET ST,0,15267
38.736972,,-90.226187,6796,FAR SIDE BELLEFONTAINE RD @ ST CYR RD,BELLEFONTAINE RD @ ST CYR RD,0,6796
38.741343,,-90.22565,6797,NEAR SIDE BELLEFONTAINE RD @ ZELLWEGER DR,BELLEFONTAINE RD @ ZELLWEGER DR,0,6797
38.733593,,-90.227047,6794,FAR SIDE BELLEFONTAINE RD @ TEURVILLE DR,BELLEFONTAINE RD @ TEURVILLE DR,0,6794
38.730989,,-90.227764,6793,FAR SIDE BELLEFONTAINE RD @ FONTAINE PL,BELLEFONTAINE RD @ FONTAINE PL,0,6793
38.72922,,-90.240125,6790,FAR SIDE LEWIS-CLARK BLVD @ JENNINGS STATION RD,LEWIS-CLARK BLVD @ JENNINGS STATION RD,0,6790
38.730363,,-90.235895,6791,NEAR SIDE JENNINGS STATION RD @ ASTORIA DR,JENNINGS STATION RD @ ASTORIA DR,0,6791
38.74482,,-90.22487,6799,FAR SIDE BELLEFONTAINE RD @ BIRITZ DR,BELLEFONTAINE RD @ BIRITZ DR,0,6799
38.770764,,-90.288643,273,,FLORISSANT VALLEY COMM COLLEGE,0,273
38.550132,,-89.910488,12019,NEAR SIDE LEBANON AVE @ EAGLE DR,LEBANON AVE @ EAGLE DR,0,12019
