block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_110,11740R,1,LAMBERT AIRPORT TERMINAL #1,82733,3_merged_1881625,1874869
b_111,11740B,1,SHREWSBURY LANSDOWNE I-44,82737,3_merged_1881625,1874868
b_107,11740R,1,LAMBERT AIRPORT TERMINAL #1,82733,3_merged_1881625,1874867
b_112,11740B,1,SHREWSBURY LANSDOWNE I-44,82737,3_merged_1881625,1874866
b_104,11740R,1,LAMBERT AIRPORT TERMINAL #1,82733,3_merged_1881625,1874865
b_109,11740B,1,SHREWSBURY LANSDOWNE I-44,82737,3_merged_1881625,1874864
b_101,11740R,1,LAMBERT AIRPORT TERMINAL #1,82733,3_merged_1881625,1874863
b_106,11740B,1,SHREWSBURY LANSDOWNE I-44,82737,3_merged_1881625,1874862
b_115,11740R,1,LAMBERT AIRPORT TERMINAL #1,82733,3_merged_1881625,1874861
b_103,11740B,1,SHREWSBURY LANSDOWNE I-44,82737,3_merged_1881625,1874860
b_842,11725,0,DOWNTOWN TROLLEY,82668,1_merged_1881624,1871989
b_841,11725,0,DOWNTOWN TROLLEY,82668,1_merged_1881624,1871988
b_522,11751,1,TO SPIRIT AIRPORT,82774,2_merged_1881626,1875406
b_842,11725,0,DOWNTOWN TROLLEY,82668,1_merged_1881624,1871986
b_522,11751,1,TO SPIRIT AIRPORT,82774,2_merged_1881626,1875404
b_519,11751,1,TO SPIRIT AIRPORT,82774,2_merged_1881626,1875405
b_522,11751,1,TO SPIRIT AIRPORT,82774,2_merged_1881626,1875402
b_519,11751,1,TO SPIRIT AIRPORT,82774,2_merged_1881626,1875403
b_843,11725,0,DOWNTOWN TROLLEY,82668,1_merged_1881624,1871981
b_519,11751,1,TO SPIRIT AIRPORT,82774,2_merged_1881626,1875401
b_329,11732,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,82693,2_merged_1881626,1873589
b_327,11732,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,82693,2_merged_1881626,1873588
b_323,11732,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,82693,2_merged_1881626,1873581
b_322,11732,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,82693,2_merged_1881626,1873580
b_327,11732,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,82693,2_merged_1881626,1873583
b_326,11732,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,82693,2_merged_1881626,1873582
b_328,11732,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,82693,2_merged_1881626,1873585
b_321,11732,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,82693,2_merged_1881626,1873584
b_326,11732,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,82693,2_merged_1881626,1873587
